Mass of chassis: 1.25
Time X Y Z
0.551996 -2.77592e-20 0.128628 -4.58822e-10
0.552996 -2.76102e-20 0.128807 -4.58822e-10
0.553996 -2.76631e-20 0.128977 -4.58821e-10
0.554996 -2.77134e-20 0.129137 -4.58821e-10
0.555996 -2.77632e-20 0.129287 -4.5882e-10
0.556996 -2.78119e-20 0.129427 -4.5882e-10
0.557996 -2.78619e-20 0.129558 -4.58819e-10
0.558996 -2.78723e-20 0.129678 -4.58819e-10
0.559996 -2.78604e-20 0.129789 -4.58819e-10
0.560996 -2.78486e-20 0.12989 -4.58819e-10
0.561996 -2.78367e-20 0.129981 -4.58819e-10
0.562996 -2.7736e-20 0.130063 -4.58818e-10
0.563996 -2.76742e-20 0.130134 -4.58818e-10
0.564996 -2.76499e-20 0.130196 -4.58818e-10
0.565996 -2.76921e-20 0.130248 -4.58818e-10
0.566996 -2.77011e-20 0.13029 -4.58818e-10
0.567996 -2.77989e-20 0.130323 -4.58818e-10
0.568996 -2.78967e-20 0.130345 -4.58818e-10
0.569996 -2.80348e-20 0.130358 -4.58818e-10
0.570996 -2.80115e-20 0.130361 -4.58818e-10
0.571996 -2.79885e-20 0.130354 -4.58818e-10
0.572996 -2.8006e-20 0.130337 -4.58818e-10
0.573996 -2.80639e-20 0.130311 -4.58818e-10
0.574996 -2.8162e-20 0.130274 -4.58818e-10
0.575996 -2.82604e-20 0.130228 -4.58818e-10
